Name,FQRegion,FQN,WOFId,CountryCode,HasRegion,Region,HasCity,City
ca/on/city_of_sault_ste_marie,"on, ca","sault ste marie, on, ca",101735641,ca,1,on,1,sault ste marie
ca/on/city_of_thunder_bay,"on, ca","thunder bay, on, ca",890458687,ca,1,on,1,thunder bay
ca/on/city_of_toronto,"on, ca","toronto, on, ca",890457465,ca,1,on,1,toronto
ca/on/city_of_vaughan,"on, ca","vaughan, on, ca",101736093,ca,1,on,1,vaughan
ca/on/city_of_waterloo,"on, ca","waterloo, on, ca",101736191,ca,1,on,1,waterloo
ca/on/city_of_welland,"on, ca","welland, on, ca",101735999,ca,1,on,1,welland
ca/on/city_of_windsor,"on, ca","windsor, on, ca",101735855,ca,1,on,1,windsor
ca/on/cobourg,"on, ca","cobourg, on, ca",101736101,ca,1,on,1,cobourg
ca/on/couchicing,"on, ca","couchicing, on, ca",85682057,ca,1,on,1,couchicing
ca/on/dufferin,"on, ca","dufferin, on, ca",890456799,ca,1,on,1,dufferin
ca/on/elgin,"on, ca","elgin, on, ca",890458529,ca,1,on,1,elgin
ca/on/essex,"on, ca","essex, on, ca",890458683,ca,1,on,1,essex
ca/on/greater_sudbury,"on, ca","greater sudbury, on, ca",101735493,ca,1,on,1,greater sudbury
ca/on/grey,"on, ca","grey, on, ca",890456569,ca,1,on,1,grey
ca/on/grey_dufferin,"on, ca","grey dufferin, on, ca",890456799,ca,1,on,1,grey dufferin
ca/on/haldimand,"on, ca","haldimand, on, ca",101735569,ca,1,on,1,haldimand
ca/on/haliburton,"on, ca","haliburton, on, ca",890457187,ca,1,on,1,haliburton
ca/on/halton,"on, ca","halton, on, ca",890456111,ca,1,on,1,halton
ca/on/hastings,"on, ca","hastings, on, ca",890456309,ca,1,on,1,hastings
ca/on/lambton,"on, ca","lambton, on, ca",890456489,ca,1,on,1,lambton
ca/on/lasalle,"on, ca","lasalle, on, ca",101736185,ca,1,on,1,lasalle
ca/on/leeds_grenville,"on, ca","leeds grenville, on, ca",101737749,ca,1,on,1,leeds grenville
ca/on/lennoxaddington,"on, ca","lennoxaddington, on, ca",85682057,ca,1,on,1,lennoxaddington
ca/on/lucan_biddulph,"on, ca","lucan biddulph, on, ca",101736129,ca,1,on,1,lucan biddulph
ca/on/middlesex_centre,"on, ca","middlesex centre, on, ca",101736165,ca,1,on,1,middlesex centre
ca/on/muskoka,"on, ca","muskoka, on, ca",890458545,ca,1,on,1,muskoka
ca/on/newbury,"on, ca","newbury, on, ca",101736255,ca,1,on,1,newbury
ca/on/newmarket,"on, ca","newmarket, on, ca",101736295,ca,1,on,1,newmarket
ca/on/niagara_region,"on, ca","niagara region, on, ca",890456991,ca,1,on,1,niagara region
ca/on/norfolk,"on, ca","norfolk, on, ca",101735795,ca,1,on,1,norfolk
ca/on/north_glengarry,"on, ca","north glengarry, on, ca",101736231,ca,1,on,1,north glengarry
ca/on/north_middlesex,"on, ca","north middlesex, on, ca",101736233,ca,1,on,1,north middlesex
ca/on/northumberland,"on, ca","northumberland, on, ca",890457749,ca,1,on,1,northumberland
